Date,SF-Total,SF-Subscriber,SF-Customer,SJ-Total,SJ-Subscriber,SJ-Customer,RC-Total,RC-Subscriber,RC-Customer,MV-Total,MV-Subscriber,MV-Customer,PA-Total,PA-Subscriber,PA-Customer
12/26/13,376,290,86,25,17,8,5,2,3,10,7,3,6,4,2
12/27/13,395,294,101,14,12,2,3,3,0,8,3,5,5,4,1
12/28/13,373,167,206,13,8,5,0,0,0,13,4,9,4,0,4
12/29/13,294,128,166,17,14,3,0,0,0,1,1,0,6,1,5
12/30/13,558,442,116,26,26,0,1,1,0,13,10,3,7,0,7
12/31/13,472,331,141,12,12,0,1,1,0,6,2,4,14,2,12
01/01/14,334,115,219,9,5,4,0,0,0,4,4,0,12,0,12
01/02/14,702,579,123,35,34,1,3,2,1,21,17,4,6,6,0
01/03/14,700,588,112,48,35,13,4,4,0,20,17,3,7,7,0
01/04/14,318,208,110,14,12,2,4,2,2,4,0,4,16,4,12
01/05/14,236,174,62,38,7,31,0,0,0,16,10,6,6,0,6
01/06/14,843,777,66,47,41,6,1,1,0,18,15,3,6,6,0
01/07/14,855,807,48,63,60,3,3,3,0,36,35,1,10,9,1
01/08/14,892,818,74,51,50,1,4,3,1,18,18,0,2,2,0
01/09/14,888,788,100,61,51,10,1,1,0,21,21,0,9,7,2
01/10/14,892,792,100,63,56,7,3,3,0,20,19,1,5,3,2
01/11/14,216,146,70,23,13,10,0,0,0,6,3,3,2,0,2
01/12/14,305,152,153,37,13,24,3,1,2,2,0,2,4,1,3
01/13/14,917,853,64,58,56,2,4,2,2,26,19,7,10,9,1
01/14/14,928,856,72,57,51,6,2,2,0,27,24,3,13,11,2
01/15/14,1001,908,93,61,61,0,4,4,0,24,17,7,10,8,2
01/16/14,983,905,78,68,58,10,4,4,0,32,29,3,10,8,2
01/17/14,906,791,115,75,66,9,8,8,0,14,13,1,11,9,2
01/18/14,388,199,189,33,17,16,1,1,0,4,0,4,17,5,12
01/19/14,325,144,181,50,25,25,1,0,1,11,4,7,10,3,7
01/20/14,541,415,126,51,35,16,3,3,0,9,8,1,11,4,7
01/21/14,911,862,49,64,57,7,4,4,0,20,18,2,12,10,2
01/22/14,962,892,70,75,69,6,5,2,3,21,21,0,8,7,1
01/23/14,974,869,105,95,81,14,2,2,0,17,17,0,6,4,2
01/24/14,912,844,68,61,59,2,3,3,0,26,23,3,19,11,8
01/25/14,404,233,171,23,20,3,0,0,0,12,0,12,5,2,3
01/26/14,357,209,148,19,15,4,0,0,0,8,2,6,6,2,4
01/27/14,877,873,4,54,52,2,3,3,0,20,20,0,5,5,0
01/28/14,938,884,54,52,49,3,3,3,0,21,19,2,12,10,2
01/29/14,865,826,39,61,57,4,3,3,0,21,20,1,2,1,1
01/30/14,872,838,34,44,39,5,1,1,0,22,20,2,7,7,0
01/31/14,757,699,58,55,48,7,2,1,1,20,18,2,5,4,1
02/01/14,318,193,125,44,27,17,2,0,2,17,4,13,2,1,1
02/02/14,99,54,45,18,8,10,0,0,0,10,5,5,1,0,1
02/03/14,867,797,70,58,57,1,3,3,0,27,25,2,7,6,1
02/04/14,886,833,53,67,61,6,6,4,2,25,22,3,10,9,1
02/05/14,784,744,40,49,42,7,4,4,0,22,21,1,3,2,1
02/06/14,439,408,31,23,23,0,0,0,0,22,21,1,2,2,0
02/07/14,405,385,20,40,36,0,0,0,0,17,17,0,4,3,1
02/08/14,66,55,11,18,11,4,0,0,0,10,6,4,0,0,0
02/09/14,59,52,7,11,11,7,0,0,0,6,4,2,5,1,4
02/10/14,718,662,56,50,47,3,3,3,0,25,20,5,7,7,0
02/11/14,854,817,37,55,53,2,6,4,2,17,14,3,7,7,0
02/12/14,913,835,78,61,60,1,4,2,2,28,27,1,9,5,4
02/13/14,846,783,63,53,49,4,1,0,1,28,25,3,9,4,5
02/14/14,879,772,107,46,45,1,1,1,0,22,22,0,10,5,5
02/15/14,385,205,180,15,11,4,2,2,0,5,4,1,8,1,7
02/16/14,390,209,181,12,10,2,0,0,0,1,1,0,12,0,12
02/17/14,429,275,154,23,16,7,0,0,0,11,10,1,1,1,0
02/18/14,921,814,107,54,53,1,1,1,0,31,27,4,6,5,1
02/19/14,918,828,90,61,55,6,5,5,0,23,22,1,5,3,2
02/20/14,893,830,63,54,50,4,1,1,0,23,20,3,3,3,0
02/21/14,831,746,85,53,51,2,10,2,8,31,27,4,12,11,1
02/22/14,395,203,192,41,35,6,9,0,9,13,4,9,8,2,6
02/23/14,265,138,127,22,13,9,1,0,1,26,8,18,3,1,2
02/24/14,902,861,41,61,54,7,4,3,1,34,32,2,10,10,0
02/25/14,995,913,82,50,47,3,4,4,0,29,29,0,12,11,1
02/26/14,352,331,21,27,27,0,0,0,0,7,5,2,6,6,0
02/27/14,787,729,58,59,54,5,3,3,0,18,18,0,5,5,0
02/28/14,488,447,41,25,23,2,1,1,0,17,16,1,7,7,0
