station,hour,rides
Davis at Jackson,22,21
Davis at Jackson,23,12
Embarcadero at Bryant,00,17
Embarcadero at Bryant,02,2
Embarcadero at Bryant,03,1
Embarcadero at Bryant,04,14
Embarcadero at Bryant,05,95
Embarcadero at Bryant,06,53
Embarcadero at Bryant,07,229
Embarcadero at Bryant,08,539
Embarcadero at Bryant,09,350
Embarcadero at Bryant,10,259
Embarcadero at Bryant,11,201
Embarcadero at Bryant,12,256
Embarcadero at Bryant,13,223
Embarcadero at Bryant,14,196
Embarcadero at Bryant,15,195
Embarcadero at Bryant,16,212
Embarcadero at Bryant,17,177
Embarcadero at Bryant,18,181
Embarcadero at Bryant,19,132
Embarcadero at Bryant,20,58
Embarcadero at Bryant,21,58
Embarcadero at Bryant,22,26
Embarcadero at Bryant,23,23
Embarcadero at Folsom,00,7
Embarcadero at Folsom,01,3
Embarcadero at Folsom,02,5
Embarcadero at Folsom,04,1
Embarcadero at Folsom,06,13
Embarcadero at Folsom,07,35
Embarcadero at Folsom,08,143
Embarcadero at Folsom,09,106
Embarcadero at Folsom,10,92
Embarcadero at Folsom,11,171
Embarcadero at Folsom,12,218
Embarcadero at Folsom,13,215
Embarcadero at Folsom,14,160
Embarcadero at Folsom,15,179
Embarcadero at Folsom,16,543
Embarcadero at Folsom,17,552
Embarcadero at Folsom,18,222
Embarcadero at Folsom,19,105
Embarcadero at Folsom,20,82
Embarcadero at Folsom,21,48
Embarcadero at Folsom,22,22
Embarcadero at Folsom,23,9
Embarcadero at Sansome,00,25
Embarcadero at Sansome,01,21
Embarcadero at Sansome,02,5
Embarcadero at Sansome,03,13
Embarcadero at Sansome,04,3
Embarcadero at Sansome,05,10
Embarcadero at Sansome,06,163
Embarcadero at Sansome,07,184
Embarcadero at Sansome,08,329
Embarcadero at Sansome,09,230
Embarcadero at Sansome,10,224
Embarcadero at Sansome,11,344
Embarcadero at Sansome,12,418
Embarcadero at Sansome,13,476
Embarcadero at Sansome,14,537
Embarcadero at Sansome,15,677
