date,total,subscriber,customer,totalAvg,subscriberAvg,customerAvg,temp,rain,weekend,weekday,BART,49ers,Giants,Sharks,AmericasCup,USGovShutdown,holiday,holidayName
10/29/13,54,51,3,55,49,6,56,,0,3,0,,,,,,0,
10/30/13,77,69,8,57,50,6,56,,0,4,0,,,,,,0,
10/31/13,70,61,9,59,52,7,58,,0,5,0,,,,,,1,Halloween
11/01/13,52,48,4,56,45,11,61,,0,6,0,,,,,,0,
11/02/13,22,19,3,32,19,13,57,,1,7,0,,,1,,,0,
11/03/13,20,11,9,30,15,15,55,,1,1,0,,,,,,0,
11/04/13,53,49,4,52,44,7,54,,0,2,0,,,,,,0,
11/05/13,70,61,9,55,49,6,58,,0,3,0,,,1,,,0,
11/06/13,55,53,2,57,50,6,60,,0,4,0,,,,,,0,
11/07/13,75,69,6,59,52,7,62,,0,5,0,,,1,,,0,
11/08/13,41,33,8,56,45,11,58,,0,6,0,,,,,,0,
11/09/13,34,14,20,32,19,13,61,,1,7,0,,,,,,0,
11/10/13,25,19,6,30,15,15,55,,1,1,0,1,,,,,0,
11/11/13,48,33,15,52,44,7,59,,0,2,0,,,,,,1,Veterans Day
11/12/13,57,56,1,55,49,6,62,,0,3,0,,,,,,0,
11/13/13,53,50,3,57,50,6,60,,0,4,0,,,,,,0,
11/14/13,66,58,8,59,52,7,57,,0,5,0,,,,,,0,
11/15/13,60,46,14,56,45,11,55,,0,6,0,,,,,,0,
11/16/13,24,11,13,32,19,13,52,,1,7,0,,,,,,0,
11/17/13,16,11,5,30,15,15,54,,1,1,0,,,,,,0,
11/18/13,39,38,1,52,44,7,53,,0,2,0,,,,,,0,
11/19/13,46,44,2,55,49,6,57,1,0,3,0,,,,,,0,
11/20/13,40,38,2,57,50,6,58,1,0,4,0,,,,,,0,
11/21/13,67,65,2,59,52,7,56,1,0,5,0,,,1,,,0,
11/22/13,56,40,16,56,45,11,58,,0,6,0,,,,,,0,
11/23/13,54,24,30,32,19,13,53,,1,7,0,,,1,,,0,
11/24/13,41,16,25,30,15,15,53,,1,1,0,,,,,,0,
11/25/13,58,54,4,52,44,7,53,,0,2,0,,,,,,0,
11/26/13,64,58,6,55,49,6,53,,0,3,0,,,,,,0,
11/27/13,56,50,6,57,50,6,54,,0,4,0,,,1,,,0,
11/28/13,8,6,2,59,52,7,57,,0,5,0,,,,,,1,Thanksgiving
11/29/13,24,18,6,56,45,11,57,,0,6,0,,,1,,,1,Thanksgiving Friday
11/30/13,23,17,6,32,19,13,53,,1,7,0,,,1,,,0,
12/01/13,21,13,8,30,15,15,55,,1,1,0,1,,,,,0,
12/02/13,48,45,3,52,44,7,53,,0,2,0,,,,,,0,
12/03/13,51,48,3,55,49,6,49,1,0,3,0,,,,,,0,
12/04/13,66,63,3,57,50,6,43,,0,4,0,,,,,,0,
12/05/13,60,50,10,59,52,7,41,,0,5,0,,,,,,0,
12/06/13,50,46,4,56,45,11,42,1,0,6,0,,,,,,0,
12/07/13,12,11,1,32,19,13,42,1,1,7,0,,,,,,0,
12/08/13,17,14,3,30,15,15,39,,1,1,0,1,,,,,0,
12/09/13,57,57,0,52,44,7,38,,0,2,0,,,,,,0,
12/10/13,42,41,1,55,49,6,41,,0,3,0,,,1,,,0,
12/11/13,61,59,2,57,50,6,44,,0,4,0,,,,,,0,
12/12/13,48,48,0,59,52,7,44,,0,5,0,,,1,,,0,
12/13/13,47,38,9,56,45,11,47,,0,6,0,,,,,,0,
12/14/13,22,17,5,32,19,13,48,,1,7,1,,,,,,0,
12/15/13,21,17,4,30,15,15,47,,1,1,1,,,,,,0,
12/16/13,45,38,7,52,44,7,52,,0,2,1,,,,,,0,
12/17/13,46,45,1,55,49,6,53,,0,3,1,,,,,,0,
12/18/13,48,47,1,57,50,6,53,,0,4,1,,,,,,0,
12/19/13,39,35,4,59,52,7,50,,0,5,0,,,,,,0,
12/20/13,58,36,22,56,45,11,48,,0,6,0,,,,,,0,
12/21/13,29,15,14,32,19,13,48,,1,7,0,,,1,,,0,
12/22/13,23,8,15,30,15,15,52,,1,1,0,,,,,,0,
12/23/13,54,42,12,52,44,7,51,,0,2,0,1,,1,,,0,
12/24/13,11,7,4,55,49,6,54,,0,3,0,,,,,,1,Christmas Eve
12/25/13,7,1,6,57,50,6,52,,0,4,0,,,,,,1,Christmas
12/26/13,25,17,8,59,52,7,53,,0,5,0,,,,,,0,
12/27/13,14,12,2,56,45,11,48,,0,6,0,,,,,,0,
12/28/13,13,8,5,32,19,13,51,,1,7,0,,,,,,0,
12/29/13,17,14,3,30,15,15,52,,1,1,0,,,1,,,0,
12/30/13,26,26,0,52,44,7,50,,0,2,0,,,,,,0,
12/31/13,12,12,0,55,49,6,48,,0,3,0,,,,,,1,New Years Eve
01/01/14,9,5,4,57,50,6,49,,0,4,0,,,,,,1,New Years
01/02/14,35,34,1,59,52,7,52,,0,5,0,,,1,,,0,
01/03/14,48,35,13,56,45,11,52,,0,6,0,,,,,,0,
01/04/14,14,12,2,32,19,13,52,,1,7,0,,,,,,0,
01/05/14,38,7,31,30,15,15,51,,1,1,0,,,,,,0,
01/06/14,47,41,6,52,44,7,50,,0,2,0,,,,,,0,
01/07/14,63,60,3,55,49,6,54,,0,3,0,,,,,,0,
01/08/14,51,50,1,57,50,6,54,1,0,4,0,,,,,,0,
01/09/14,61,51,10,59,52,7,53,1,0,5,0,,,1,,,0,
01/10/14,63,56,7,56,45,11,52,,0,6,0,,,,,,0,
01/11/14,23,13,10,32,19,13,51,,1,7,0,,,1,,,0,
01/12/14,37,13,24,30,15,15,52,,1,1,0,,,,,,0,
01/13/14,58,56,2,52,44,7,56,,0,2,0,,,,,,0,
01/14/14,57,51,6,55,49,6,57,,0,3,0,,,,,,0,
01/15/14,61,61,0,57,50,6,55,,0,4,0,,,,,,0,
01/16/14,68,58,10,59,52,7,56,,0,5,0,,,,,,0,
01/17/14,75,66,9,56,45,11,54,,0,6,0,,,,,,0,
01/18/14,33,17,16,32,19,13,54,,1,7,0,,,,,,0,
01/19/14,50,25,25,30,15,15,53,,1,1,0,,,,,,0,
01/20/14,51,35,16,52,44,7,54,,0,2,0,,,,,,1,MLK Day
01/21/14,64,57,7,55,49,6,53,,0,3,0,,,,,,0,
01/22/14,75,69,6,57,50,6,55,,0,4,0,,,,,,0,
01/23/14,95,81,14,59,52,7,54,,0,5,0,,,1,,,0,
01/24/14,61,59,2,56,45,11,53,,0,6,0,,,,,,0,
01/25/14,23,20,3,32,19,13,58,,1,7,0,,,1,,,0,
01/26/14,19,15,4,30,15,15,58,,1,1,0,,,,,,0,
01/27/14,54,52,2,52,44,7,55,,0,2,0,,,1,,,0,
01/28/14,52,49,3,55,49,6,58,,0,3,0,,,,,,0,
01/29/14,61,57,4,57,50,6,62,1,0,4,0,,,,,,0,
01/30/14,44,39,5,59,52,7,56,1,0,5,0,,,,,,0,
01/31/14,55,48,7,56,45,11,52,,0,6,0,,,,,,0,
02/01/14,44,27,17,32,19,13,49,,1,7,0,,,1,,,0,
02/02/14,18,8,10,30,15,15,48,1,1,1,0,,,,,,0,
02/03/14,58,57,1,52,44,7,48,,0,2,0,,,1,,,0,
02/04/14,67,61,6,55,49,6,46,,0,3,0,,,,,,0,
02/05/14,49,42,7,57,50,6,47,1,0,4,0,,,1,,,0,
02/06/14,23,23,0,59,52,7,50,1,0,5,0,,,,,,0,
02/07/14,40,36,0,56,45,11,51,1,0,6,0,,,1,,,0,
02/08/14,18,11,4,32,19,13,57,1,1,7,0,,,,,,0,
02/09/14,11,11,7,30,15,15,60,,1,1,0,,,,,,0,
02/10/14,50,47,3,52,44,7,57,,0,2,0,,,,,,0,
02/11/14,55,53,2,55,49,6,56,,0,3,0,,,,,,0,
02/12/14,61,60,1,57,50,6,56,,0,4,0,,,,,,0,
02/13/14,53,49,4,59,52,7,59,,0,5,0,,,,,,0,
02/14/14,46,45,1,56,45,11,58,,0,6,0,,,,,,1,Valentine's Day
02/15/14,15,11,4,32,19,13,56,1,1,7,0,,,,,,0,
02/16/14,12,10,2,30,15,15,55,1,1,1,0,,,,,,0,
